;;;;;;POTENCIA;;;;;;ENERGIA;;;;;
sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;15;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,287408 €;0,232613 €;0,195749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;20;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,292408 €;0,237613 €;0,200749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;20;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,292408 €;0,237613 €;0,200749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;20;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,292408 €;0,237613 €;0,200749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;25;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,297408 €;0,242613 €;0,205749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;25;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,297408 €;0,242613 €;0,205749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;25;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,297408 €;0,242613 €;0,205749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;2.0TD;30;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,302408 €;0,247613 €;0,210749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;EQUILIBRIO;2.0TD;30;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,302408 €;0,247613 €;0,210749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;SIMETRIA;2.0TD;30;0,092145 €;0,022172 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,302408 €;0,247613 €;0,210749 €;0,000000 €;0,000000 €;0,000000 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;3;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,265546 €;0,244293 €;0,216523 €;0,198256 €;0,178598 €;0,176448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;3;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,265546 €;0,244293 €;0,216523 €;0,198256 €;0,178598 €;0,176448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;3;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,265546 €;0,244293 €;0,216523 €;0,198256 €;0,178598 €;0,176448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;6;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,268546 €;0,247293 €;0,219523 €;0,201256 €;0,181598 €;0,179448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;6;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,268546 €;0,247293 €;0,219523 €;0,201256 €;0,181598 €;0,179448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;6;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,268546 €;0,247293 €;0,219523 €;0,201256 €;0,181598 €;0,179448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;8;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,270546 €;0,249293 €;0,221523 €;0,203256 €;0,183598 €;0,181448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;8;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,270546 €;0,249293 €;0,221523 €;0,203256 €;0,183598 €;0,181448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;8;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,270546 €;0,249293 €;0,221523 €;0,203256 €;0,183598 €;0,181448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;10;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,272546 €;0,251293 €;0,223523 €;0,205256 €;0,185598 €;0,183448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;10;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,272546 €;0,251293 €;0,223523 €;0,205256 €;0,185598 €;0,183448 €
BALEARES;AEQ;FIJO;SIMETRIA;3.0TD;10;0,038308 €;0,032600 €;0,035622 €;0,034668 €;0,032144 €;0,030140 €;0,272546 €;0,251293 €;0,223523 €;0,205256 €;0,185598 €;0,183448 €
BALEARES;AEQ;FIJO;ARMONIA;3.0TD;15;0,038308 €;0,032600 €;0,010965 €;0,010011 €;0,007487 €;0,005483 €;0,277546 €;0,256293 €;0,228523 €;0,210256 €;0,190598 €;0,188448 €
BALEARES;AEQ;FIJO;EQUILIBRIO;3.0TD;15;0,038308 €;0,032600 €;0,021238 €;0,020285 €;0,017761 €;0,015757 €;0,277546 €;0,256293 €;0,228523 €;0,210256 €;0,190598 €;0,188448 €
