-;;;;;;;;8;9;10;11;12;13;14;15;16;17;18;19
-;;;;;;;;POTENCIA (€/kW/día);;;;;;ENERGIA (€/kWh);;;;;
-;soporte;CIA;SISTEMA;CIA;Producto CIA (potencia);Transporte Distribución;fee;P1;P2;P3;P4;P5;P6;P1;P2;P3;P4;P5;P6
-;CANARIASACCIONAFIJOPONIENTE3.0TD-;ACCIONA;CANARIAS;;PONIENTE;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,32285 € ; 0,33602 € ; 0,30735 € ; 0,28634 € ; 0,27150 € ; 0,26771 € 
-;CANARIASACCIONAFIJOPONIENTE+3.0TD-;ACCIONA;CANARIAS;;PONIENTE+;3.0TD;-; 0,04504 € ; 0,03597 € ; 0,01952 € ; 0,01709 € ; 0,01249 € ; 0,01036 € ; 0,32285 € ; 0,33602 € ; 0,30735 € ; 0,28634 € ; 0,27150 € ; 0,26771 € 
-;CANARIASACCIONAFIJOTRAMONTANA3.0TD-;ACCIONA;CANARIAS;;TRAMONTANA;3.0TD;-; 0,03956 € ; 0,03049 € ; 0,01404 € ; 0,01161 € ; 0,00701 € ; 0,00488 € ; 0,31778 € ; 0,33094 € ; 0,30227 € ; 0,28127 € ; 0,26643 € ; 0,26264 € 
-;CANARIASACCIONAFIJOTRAMONTANA+3.0TD-;ACCIONA;CANARIAS;;TRAMONTANA+;3.0TD;-; 0,04230 € ; 0,03323 € ; 0,01678 € ; 0,01435 € ; 0,00975 € ; 0,00762 € ; 0,31778 € ; 0,33094 € ; 0,30227 € ; 0,28127 € ; 0,26643 € ; 0,26264 € 
-;CANARIASACCIONAFIJOCIERZO6.1TD-;ACCIONA;CANARIAS;;CIERZO;6.1TD;-; 0,07786 € ; 0,07225 € ; 0,04789 € ; 0,04125 € ; 0,02190 € ; 0,01969 € ; 0,28436 € ; 0,29438 € ; 0,27439 € ; 0,25652 € ; 0,24289 € ; 0,23910 € 
-;CANARIASACCIONAFIJOLEVANTE6.1TD-;ACCIONA;CANARIAS;;LEVANTE;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,29553 € ; 0,30555 € ; 0,28555 € ; 0,26768 € ; 0,25405 € ; 0,25026 € 
-;CANARIASACCIONAFIJOLEVANTE+6.1TD-;ACCIONA;CANARIAS;;LEVANTE+;6.1TD;-; 0,07238 € ; 0,06677 € ; 0,04241 € ; 0,03577 € ; 0,01642 € ; 0,01421 € ; 0,29553 € ; 0,30555 € ; 0,28555 € ; 0,26768 € ; 0,25405 € ; 0,25026 € 
-;CANARIASACCIONAFIJOPONIENTE6.1TD-;ACCIONA;CANARIAS;;PONIENTE;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,28944 € ; 0,29946 € ; 0,27946 € ; 0,26159 € ; 0,24796 € ; 0,24417 € 
-;CANARIASACCIONAFIJOPONIENTE+6.1TD-;ACCIONA;CANARIAS;;PONIENTE+;6.1TD;-; 0,06690 € ; 0,06129 € ; 0,03693 € ; 0,03029 € ; 0,01094 € ; 0,00873 € ; 0,28944 € ; 0,29946 € ; 0,27946 € ; 0,26159 € ; 0,24796 € ; 0,24417 € 
-;CANARIASACCIONAFIJOTRAMONTANA6.1TD-;ACCIONA;CANARIAS;;TRAMONTANA;6.1TD;-; 0,06142 € ; 0,05581 € ; 0,03145 € ; 0,02481 € ; 0,00546 € ; 0,00325 € ; 0,28436 € ; 0,29438 € ; 0,27439 € ; 0,25652 € ; 0,24289 € ; 0,23910 € 
