1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
soporte;sistema;cia;producto;producto cia;tarifa;fee;P1;P2;P3;P4;P5;P6;P1.;P2.;P3.;P4.;P5.;P6.
BALEARESACCIONAFIJOTRAMONTANA+6.1TD-;BALEARES;ACCIONA;FIJO;TRAMONTANA+;6.1TD;-;0,064156 €;0,058550 €;0,034187 €;0,027549 €;0,008198 €;0,005987 €;0,278133 €;0,276809 €;0,277166 €;0,269535 €;0,256618 €;0,239099 €
BALEARESACCIONAFIJOCIERZO6.2TD-;BALEARES;ACCIONA;FIJO;CIERZO;6.2TD;-;0,060270 €;0,056978 €;0,037051 €;0,035407 €;0,019981 €;0,018683 €;0,259569 €;0,261637 €;0,266162 €;0,261960 €;0,253489 €;0,233317 €
BALEARESACCIONAFIJOLEVANTE6.2TD-;BALEARES;ACCIONA;FIJO;LEVANTE;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,270734 €;0,272802 €;0,277327 €;0,273125 €;0,264654 €;0,244482 €
BALEARESACCIONAFIJOLEVANTE+6.2TD-;BALEARES;ACCIONA;FIJO;LEVANTE+;6.2TD;-;0,054790 €;0,051498 €;0,031572 €;0,029927 €;0,014502 €;0,013204 €;0,270734 €;0,272802 €;0,277327 €;0,273125 €;0,264654 €;0,244482 €
BALEARESACCIONAFIJOPONIENTE6.2TD-;BALEARES;ACCIONA;FIJO;PONIENTE;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,264644 €;0,266712 €;0,271237 €;0,267035 €;0,258564 €;0,238392 €
BALEARESACCIONAFIJOPONIENTE+6.2TD-;BALEARES;ACCIONA;FIJO;PONIENTE+;6.2TD;-;0,049311 €;0,046019 €;0,026092 €;0,024448 €;0,009022 €;0,007724 €;0,264644 €;0,266712 €;0,271237 €;0,267035 €;0,258564 €;0,238392 €
BALEARESACCIONAFIJOTRAMONTANA6.2TD-;BALEARES;ACCIONA;FIJO;TRAMONTANA;6.2TD;-;0,043831 €;0,040540 €;0,020613 €;0,018968 €;0,003543 €;0,002245 €;0,259569 €;0,261637 €;0,266162 €;0,261960 €;0,253489 €;0,233317 €
BALEARESACCIONAFIJOTRAMONTANA+6.2TD-;BALEARES;ACCIONA;FIJO;TRAMONTANA+;6.2TD;-;0,046571 €;0,043279 €;0,023353 €;0,021708 €;0,006283 €;0,004985 €;0,259569 €;0,261637 €;0,266162 €;0,261960 €;0,253489 €;0,233317 €
PENINSULAAEQFIJOARMONIA2.0TD3;PENINSULA;AEQ;FIJO;ARMONIA;2.0TD;3;0,071803 €;0,005528 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,265522 €;0,211940 €;0,175676 €;0,000000 €;0,000000 €;0,000000 €
PENINSULAAEQFIJOEQUILIBRIO2.0TD3;PENINSULA;AEQ;FIJO;EQUILIBRIO;2.0TD;3;0,081597 €;0,013542 €;0,000000 €;0,000000 €;0,000000 €;0,000000 €;0,265522 €;0,211940 €;0,175676 €;0,000000 €;0,000000 €;0,000000 €
